"pathway","pval","padj","ES","NES","nMoreExtreme","size","leadingEdge"
"HALLMARK_P53_PATHWAY",0.00163132137030995,0.0031164298180005,-0.509715778886556,-2.11030463921056,0,200,"27244, 247, 64065, 6275, 900, 694, 9314, 6281, 54541, 55332, 8626, 677, 4071, 92815, 8673, 834, 1969, 55602, 7164, 5111, 3006, 10614, 6520, 6303, 5925, 1030, 55035, 10668, 2040, 10140, 26471, 30836, 29946, 51065, 23657, 8812, 2872, 10399, 317, 6667, 355, 7832, 7704, 8493, 7040, 3976, 2149, 8848, 6948, 7135, 51447, 9538, 10628, 6236, 896, 51002, 2073, 8870, 9738, 6004, 3625, 25873, 2353, 1026, 79651, 4084, 2309, 6256, 1649, 4814, 63874, 3725, 64782, 8877, 10560, 10437, 5912, 25898, 11202, 6141, 51181, 2052"
"HALLMARK_PI3K_AKT_MTOR_SIGNALING",0.00168067226890756,0.0031164298180005,-0.464730307611465,-1.76726151264166,0,105,"3561, 7852, 5308, 466, 81617, 4690, 1956, 6503, 1017, 4087, 3709, 27071, 6885, 7323, 2872, 6016, 3932, 10094, 6513, 7132, 4803, 1027, 29110, 10451, 7184, 200576, 5519, 9630, 1026, 5894, 51135, 1649, 2251, 1019, 5608, 356, 983"
"HALLMARK_PROTEIN_SECRETION",0.00174520069808028,0.0031164298180005,-0.438927027735425,-1.63531440651724,0,96,"26286, 9367, 81542, 19, 1956, 1075, 858, 3875, 8773, 6643, 3998, 967, 2803, 1203, 7251, 22796, 286451, 259230, 10282, 10972, 27236, 1315, 9554, 2717, 538, 2778, 8082, 5538, 3482"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",0.00163132137030995,0.0031164298180005,-0.63092995412121,-2.61215066189902,0,200,"4792, 10957, 3606, 4783, 694, 1880, 7097, 22822, 9322, 23764, 9314, 50486, 1052, 1326, 55332, 2669, 6372, 330, 7128, 2683, 1316, 25816, 8767, 57007, 3280, 19, 1843, 1906, 4616, 4609, 3659, 2921, 6303, 1051, 10365, 11080, 597, 374, 6364, 10135, 604, 182, 65986, 5970, 4170, 8660, 4790, 969, 2919, 7538, 5341, 4780, 25976, 150094, 3575, 329, 9021, 10611, 7050, 10010, 2355, 8942, 6351, 7832, 3398, 5966, 3572, 2920, 3569, 3976, 6352, 80149, 57018, 5329, 6446, 5734, 8848, 3726, 4791, 2150, 9945, 7422, 64135, 7130, 8613, 8870, 3383, 23586, 595, 3460, 79155, 9034, 2353, 9592, 1026, 4084, 2643, 10725, 10950, 3491, 3601, 4814, 602, 3725, 6347, 56937, 6515, 687, 8877, 2114"
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE",0.00169779286926995,0.0031164298180005,-0.437685161515686,-1.6790573064124,0,113,"9709, 54541, 11015, 1054, 4850, 10605, 1051, 4848, 27230, 57472, 27257, 468, 6897, 23478, 64859, 9531, 5611, 3799, 1978, 10797, 29968, 11260, 55033, 8614, 7422, 23517, 1163, 8815, 6208, 7184, 64924, 10130, 6745, 7494, 9775, 7466, 1973, 5832, 4869, 55272, 4801, 6347, 3313, 55802, 3434, 9451"
"HALLMARK_UV_RESPONSE_DN",0.00166112956810631,0.0031164298180005,-0.523103411722513,-2.07874360012514,0,144,"1278, 4493, 5737, 302, 7049, 8405, 54468, 3397, 657, 7048, 10240, 7035, 2535, 6383, 1843, 1277, 4609, 3488, 10516, 2697, 1601, 6591, 861, 8821, 1301, 25836, 4790, 5159, 4853, 3480, 2534, 10611, 857, 4233, 2869, 136, 1281, 11099, 3667, 6717, 5468, 1432, 390, 1027, 9975, 50937, 120, 8613, 3915, 4781, 51460, 23469, 594, 6541, 3491, 6256, 4092, 23266, 3690, 2908, 11030, 140609, 5922, 5332, 5054, 546, 4052, 5577, 91746, 2064, 5578"
"HALLMARK_UV_RESPONSE_UP",0.00168634064080944,0.0031164298180005,-0.460000179262366,-1.84785171240329,0,158,"6474, 4792, 1482, 4487, 694, 1280, 3337, 6539, 5471, 1054, 6697, 1017, 1875, 5243, 8692, 5984, 3659, 1030, 2326, 10963, 10018, 51083, 5873, 9355, 6897, 4245, 7832, 3572, 4323, 2920, 3569, 5437, 7009, 4128, 3726, 988, 9188, 2288, 6236, 896, 1036, 2878, 262, 3383, 3301, 637, 4067, 6184, 8817, 2353, 6870, 2643, 360, 10950"
"HALLMARK_XENOBIOTIC_METABOLISM",0.00163132137030995,0.0031164298180005,-0.409026088043922,-1.69343325616244,0,200,"8876, 316, 2159, 1646, 2192, 6539, 383, 5627, 4502, 629, 1969, 9060, 3394, 9536, 126, 1066, 2110, 3417, 839, 84913, 366, 2326, 847, 978, 8309, 7358, 8644, 3735, 2328, 5730, 116285, 10611, 8942, 355, 283537, 51635, 4121, 384, 116842, 29950, 7042, 3554, 3398, 54498, 7132, 7009, 4128, 2651, 5166, 10728, 1244, 1036, 128, 217, 2948, 6510, 3294, 7274, 1528, 2643, 51733, 7299, 4814, 223, 2203, 28959, 3487, 3083, 2114, 23564, 51181, 2052, 6472, 2028, 670, 5054, 10299, 10653, 1573"
"HALLMARK_TGF_BETA_SIGNALING",0.00181818181818182,0.00313479623824451,-0.595885103996145,-2.02554582863514,0,54,"3399, 25937, 3397, 657, 4053, 4091, 9241, 6498, 90, 8412, 6885, 7323, 387, 4086, 7050, 3398, 7040, 3726, 11031, 3065, 7046, 64750, 2280, 3460, 7044, 999, 4092, 7057, 56937"
"HALLMARK_ANGIOGENESIS",0.00915750915750916,0.0152625152625153,-0.537842854646912,-1.69316147039299,4,36,"4487, 6275, 6372, 1462, 182, 5196, 11167, 5104, 7076, 3685, 4023, 1281, 7056, 7422, 4060"
