GeneID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
387509,460.4456969,-0.065533552,0.16258223,-0.403079425,0.686889796,0.826593517
11332,4345.348926,0.219108881,0.138263077,1.584724469,0.11302895,0.278349134
54626,0.274638649,-1.399128757,1.271472235,-1.100400559,0.271157635,NA
83715,179.5722269,-0.344404522,0.261512599,-1.316971048,0.18784833,0.385856114
100422975,0,NA,NA,NA,NA,NA
8718,1359.039827,0.154756297,0.224716072,0.688674806,0.491027934,0.686191517
57449,2554.177321,0.512803454,0.20969709,2.445448601,0.014467207,0.068171776
79707,693.2678105,0.410205954,0.082701355,4.960087451,7.05E-07,4.14E-05
80835,5.356256164,-0.024895954,0.32355111,-0.076945968,0.938666528,0.969765005
107984912,0.911728766,-0.647890804,0.537289504,-1.205850477,0.227875149,0.434800208
3104,515.4574518,0.073893687,0.096119146,0.768771775,0.442028807,0.646759283
9903,2227.333338,-0.044756079,0.111361245,-0.401899953,0.687757658,0.827269543
107984913,43.24280354,-0.266890545,0.204304909,-1.306334468,0.191438841,0.390381056
148479,665.6778525,0.052496003,0.064326687,0.816084359,0.414451889,0.62363512
90326,1113.916532,-0.058405688,0.086152227,-0.677935906,0.497812333,0.691311043
55735,1356.170269,0.16656744,0.069525255,2.395783244,0.016584895,0.07540258
100505887,0.042686169,-0.175136189,3.225584499,-0.054295954,0.956699373,NA
110841581,17.90380339,-0.240910601,0.210681117,-1.143484545,0.252837468,0.463517631
23261,5252.818045,0.111659336,0.109591908,1.01886479,0.308267162,0.523028224
105376692,0.166283272,0.65004528,1.979717977,0.328352466,0.742645179,NA
102725193,0.222986273,-1.506091064,2.148581551,-0.700969932,0.48332178,NA
101928836,0.698866858,-0.12203848,0.819188558,-0.148974835,0.88157349,0.940081035
105376691,0.240277222,0.790381853,1.430198088,0.552638029,0.580511296,NA
105376689,200.2854544,0.740341032,0.21299703,3.475827959,0.000509279,0.006087305
9341,2269.034251,-0.146483885,0.15677155,-0.934377984,0.35010895,0.563757727
8863,1960.847975,0.229544289,0.141599511,1.621081088,0.105000249,0.265241734
